Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018"
Diagnostic Imaging and Testing,Bone study,1,Statewide,6907,123,243,390
Diagnostic Imaging and Testing,Bone study,0,Adventist Med Ctr,127,241,316,583
Diagnostic Imaging and Testing,Bone study,0,Adventist Tillamook Reg Med Ctr,35,258,280,289
Diagnostic Imaging and Testing,Bone study,0,Asante Ashland Comm Hosp,111,324,447,474
Diagnostic Imaging and Testing,Bone study,0,Asante Rogue Valley Med Ctr,199,351,462,688
Diagnostic Imaging and Testing,Bone study,0,Asante Three Rivers Med Ctr,134,384,431,663
Diagnostic Imaging and Testing,Bone study,0,Blue Mountain Hosp,14,458,470,472
Diagnostic Imaging and Testing,Bone study,0,Columbia Mem Hosp,44,230,332,596
Diagnostic Imaging and Testing,Bone study,0,Curry Gen Hosp,20,538,568,668
Diagnostic Imaging and Testing,Bone study,0,Good Samaritan Regional Med Ctr,155,308,470,470
Diagnostic Imaging and Testing,Bone study,0,Good Shepherd Med Ctr,34,467,469,790
Diagnostic Imaging and Testing,Bone study,0,Grande Ronde Hosp,65,407,735,889
Diagnostic Imaging and Testing,Bone study,0,Kaiser Sunnyside Med Ctr,410,153,180,237
Diagnostic Imaging and Testing,Bone study,0,Kaiser Westside Med Ctr,294,122,245,282
Diagnostic Imaging and Testing,Bone study,0,Lake District Hosp,13,274,286,289
Diagnostic Imaging and Testing,Bone study,0,Legacy Emanuel Med Ctr,157,119,198,352
Diagnostic Imaging and Testing,Bone study,0,Legacy Good Samaritan Med Ctr,222,173,322,512
Diagnostic Imaging and Testing,Bone study,0,Legacy Meridian Park Med Ctr,149,145,322,595
Diagnostic Imaging and Testing,Bone study,0,Legacy Mount Hood Med Ctr,60,223,352,459
Diagnostic Imaging and Testing,Bone study,0,Legacy Silverton Med Ctr,59,65,101,358
Diagnostic Imaging and Testing,Bone study,0,Mercy Med Ctr,210,414,548,554
Diagnostic Imaging and Testing,Bone study,0,Mid-Columbia Med Ctr,50,270,362,383
Diagnostic Imaging and Testing,Bone study,0,OHSU Hosp,831,220,254,335
Diagnostic Imaging and Testing,Bone study,0,PeaceHealth Peace Harbor Med Ctr,18,173,181,181
Diagnostic Imaging and Testing,Bone study,0,Providence Hood River Mem Hosp,61,308,354,521
Diagnostic Imaging and Testing,Bone study,0,Providence Medford Med Ctr,101,160,331,405
Diagnostic Imaging and Testing,Bone study,0,Providence Milwaukie Hosp,183,57,90,208
Diagnostic Imaging and Testing,Bone study,0,Providence Newberg Med Ctr,205,65,65,172
Diagnostic Imaging and Testing,Bone study,0,Providence Portland Med Ctr,843,57,77,207
