Service category,Procedure,Statewide indicator,Hospital,Number of discharges 2018,25th percentile 2018,Median 2018,"75th percentile, 2018",Number of discharges 2017,25th percentile 2017,Median 2017,75th percentile 2017,Difference in medians,Percent difference from 2017
Diagnostic Imaging and Testing,Bone study,1,Statewide,6907,123,243,390,6725,105,231,387,12,0.052
Diagnostic Imaging and Testing,Bone study,0,Adventist Med Ctr,127,241,316,583,137,223,312,440,4,0.013
Diagnostic Imaging and Testing,Bone study,0,Adventist Tillamook Reg Med Ctr,35,258,280,289,26,258,260,354,20,0.077
Diagnostic Imaging and Testing,Bone study,0,Asante Ashland Comm Hosp,111,324,447,474,132,326,422,516,25,0.059
Diagnostic Imaging and Testing,Bone study,0,Asante Rogue Valley Med Ctr,199,351,462,688,207,354,415,654,47,0.113
Diagnostic Imaging and Testing,Bone study,0,Asante Three Rivers Med Ctr,134,384,431,663,144,407,431,709,0,0
Diagnostic Imaging and Testing,Bone study,0,Blue Mountain Hosp,14,458,470,472,10,458,467,467,3,0.006
Diagnostic Imaging and Testing,Bone study,0,Columbia Mem Hosp,44,230,332,596,32,440,440,818,-108,-0.245
Diagnostic Imaging and Testing,Bone study,0,Curry Gen Hosp,20,538,568,668,22,472,538,568,30,0.056
Diagnostic Imaging and Testing,Bone study,0,Good Samaritan Regional Med Ctr,155,308,470,470,123,256,456,470,14,0.031
Diagnostic Imaging and Testing,Bone study,0,Good Shepherd Med Ctr,34,467,469,790,47,467,467,803,2,0.004
Diagnostic Imaging and Testing,Bone study,0,Grande Ronde Hosp,65,407,735,889,71,387,403,766,332,0.824
Diagnostic Imaging and Testing,Bone study,0,Kaiser Sunnyside Med Ctr,410,153,180,237,422,150,153,232,27,0.176
Diagnostic Imaging and Testing,Bone study,0,Kaiser Westside Med Ctr,294,122,245,282,183,105,229,245,16,0.07
Diagnostic Imaging and Testing,Bone study,0,Lake District Hosp,13,274,286,289,,,,,,
Diagnostic Imaging and Testing,Bone study,0,Legacy Emanuel Med Ctr,157,119,198,352,149,102,185,277,13,0.07
Diagnostic Imaging and Testing,Bone study,0,Legacy Good Samaritan Med Ctr,222,173,322,512,204,139,312,554,10,0.032
Diagnostic Imaging and Testing,Bone study,0,Legacy Meridian Park Med Ctr,149,145,322,595,199,139,311,471,11,0.035
Diagnostic Imaging and Testing,Bone study,0,Legacy Mount Hood Med Ctr,60,223,352,459,66,115,245,349,107,0.437
Diagnostic Imaging and Testing,Bone study,0,Legacy Silverton Med Ctr,59,65,101,358,55,88,101,346,0,0
Diagnostic Imaging and Testing,Bone study,0,Mercy Med Ctr,210,414,548,554,182,309,394,525,154,0.391
Diagnostic Imaging and Testing,Bone study,0,Mid-Columbia Med Ctr,50,270,362,383,58,270,362,382,0,0
Diagnostic Imaging and Testing,Bone study,0,OHSU Hosp,831,220,254,335,685,203,249,329,5,0.02
Diagnostic Imaging and Testing,Bone study,0,PeaceHealth Peace Harbor Med Ctr,18,173,181,181,24,170,176,462,5,0.028
Diagnostic Imaging and Testing,Bone study,0,Providence Hood River Mem Hosp,61,308,354,521,69,311,311,661,43,0.138
Diagnostic Imaging and Testing,Bone study,0,Providence Medford Med Ctr,101,160,331,405,99,207,328,416,3,0.009
Diagnostic Imaging and Testing,Bone study,0,Providence Milwaukie Hosp,183,57,90,208,140,55,55,205,35,0.636
Diagnostic Imaging and Testing,Bone study,0,Providence Newberg Med Ctr,205,65,65,172,160,65,65,172,0,0
Diagnostic Imaging and Testing,Bone study,0,Providence Portland Med Ctr,843,57,77,207,857,55,78,205,-1,-0.013
Diagnostic Imaging and Testing,Bone study,0,Providence Seaside Hosp,31,67,403,673,40,366,407,833,-4,-0.01
Diagnostic Imaging and Testing,Bone study,0,Providence St Vincent Med Ctr,966,58,113,208,1043,55,96,205,17,0.177
Diagnostic Imaging and Testing,Bone study,0,Providence Willamette Falls Med Ctr,164,58,92,208,199,55,96,205,-4,-0.042
Diagnostic Imaging and Testing,Bone study,0,Salem Health Salem Hosp,128,173,173,305,129,123,166,251,7,0.042
Diagnostic Imaging and Testing,Bone study,0,Salem Health West Valley Hosp,34,402,452,483,44,249,336,483,116,0.345
Diagnostic Imaging and Testing,Bone study,0,Samaritan Albany Gen Hosp,121,400,470,764,131,391,456,611,14,0.031
Diagnostic Imaging and Testing,Bone study,0,Samaritan Lebanon Comm Hosp,66,456,456,801,71,456,456,696,0,0
Diagnostic Imaging and Testing,Bone study,0,Samaritan North Lincoln Hosp,22,442,456,595,26,425,456,747,0,0
Diagnostic Imaging and Testing,Bone study,0,Samaritan Pacific Comm Hosp,37,446,456,456,40,446,456,620,0,0
Diagnostic Imaging and Testing,Bone study,0,Santiam Hosp,29,81,473,737,40,425,500,514,-27,-0.054
Diagnostic Imaging and Testing,Bone study,0,Shriners Hosp for Children-Portland,75,43,69,178,54,42,68,138,1,0.015
Diagnostic Imaging and Testing,Bone study,0,Sky Lakes Med Ctr,121,353,353,423,104,323,333,353,20,0.06
Diagnostic Imaging and Testing,Bone study,0,St Alphonsus Med Ctr-Baker City,16,364,399,765,22,336,399,399,0,0
Diagnostic Imaging and Testing,Bone study,0,St Anthony Hospital,45,482,506,522,18,458,482,482,24,0.05
Diagnostic Imaging and Testing,Bone study,0,St Charles Med Ctr-Prineville,33,127,379,452,36,174,428,467,-49,-0.114
Diagnostic Imaging and Testing,Bone study,0,Tuality Comm Hosp,86,264,306,386,91,144,271,347,35,0.129
Diagnostic Imaging and Testing,Bone study,0,Wallowa Mem Hosp,22,456,466,470,15,443,456,470,10,0.022
Diagnostic Imaging and Testing,Bone study,0,Willamette Valley Med Ctr,58,291,340,411,68,315,332,439,8,0.024
Diagnostic Imaging and Testing,Cardiovascular: ECG,1,Statewide,16400,140,191,298,17263,133,192,293,-1,-0.005
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Adventist Med Ctr,196,135,213,1340,240,104,183,327,30,0.164
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Adventist Tillamook Reg Med Ctr,49,143,163,165,54,143,191,280,-28,-0.147
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Asante Ashland Comm Hosp,79,192,213,280,103,20,232,280,-19,-0.082
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Asante Rogue Valley Med Ctr,220,213,230,459,239,201,267,1084,-37,-0.139
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Asante Three Rivers Med Ctr,142,195,213,255,165,203,229,292,-16,-0.07
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Blue Mountain Hosp,64,218,219,464,54,213,218,278,1,0.005
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Columbia Mem Hosp,254,285,298,304,324,271,290,293,8,0.028
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Coquille Valley Hosp,43,165,177,178,41,91,177,290,0,0
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Curry Gen Hosp,203,134,142,156,188,128,134,149,8,0.06
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Good Samaritan Regional Med Ctr,490,197,210,263,584,202,208,454,2,0.01
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Good Shepherd Med Ctr,109,187,496,3692,98,179,523,6816,-27,-0.052
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Grande Ronde Hosp,70,213,501,889,72,202,435,667,66,0.152
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Harney District Hosp,78,148,157,162,73,144,152,369,5,0.033
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Kaiser Sunnyside Med Ctr,346,48,1076,5726,399,122,2025,11021,-949,-0.469
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Kaiser Westside Med Ctr,611,42,48,48,630,42,43,520,5,0.116
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Lake District Hosp,28,218,219,230,43,209,218,218,1,0.005
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Legacy Emanuel Med Ctr,389,164,231,8264,420,196,3187,9101,-2956,-0.928
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Legacy Good Samaritan Med Ctr,589,172,240,7111,550,164,224,1815,16,0.071
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Legacy Meridian Park Med Ctr,693,171,202,4764,698,169,231,8339,-29,-0.126
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Legacy Mount Hood Med Ctr,360,172,206,8429,294,167,231,7542,-25,-0.108
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Legacy Silverton Med Ctr,153,210,235,282,157,168,230,282,5,0.022
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Lower Umpqua Hosp,32,587,594,617,52,256,341,572,253,0.742
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,McKenzie-Willamette Med Ctr,269,230,1548,11186,233,215,279,9176,1269,4.548
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Mercy Med Ctr,315,203,244,275,287,149,203,270,41,0.202
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Mid-Columbia Med Ctr,185,52,73,81,211,73,77,81,-4,-0.052
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,OHSU Hosp,3503,147,164,508,3281,140,166,674,-2,-0.012
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,PeaceHealth Peace Harbor Med Ctr,11,241,265,10309,,,,,,
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,PeaceHealth Sacred Heart Med Ctr-RiverBend,801,165,222,258,930,206,219,255,3,0.014
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Pioneer Mem Hosp-Heppner,18,168,175,176,,,,,,
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Hood River Mem Hosp,78,19,127,128,74,26,128,146,-1,-0.008
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Medford Med Ctr,157,19,147,171,294,19,148,189,-1,-0.007
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Milwaukie Hosp,230,19,168,221,250,19,86,230,82,0.953
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Newberg Med Ctr,237,19,193,204,257,19,38,192,155,4.079
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Portland Med Ctr,853,19,184,195,978,19,174,192,10,0.057
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Seaside Hosp,103,19,39,39,54,38,38,331,1,0.026
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence St Vincent Med Ctr,1460,19,168,195,1730,19,129,192,39,0.302
Diagnostic Imaging and Testing,Cardiovascular: ECG,0,Providence Willamette Falls Med Ctr,366,19,191,221,483,19,158,230,33,0.209
